Tournament,Date,Series,Court,Surface,Round,Best of,Player_1,Player_2,Winner,Rank_1,Rank_2,Pts_1,Pts_2,Odd_1,Odd_2,Score
Brasil Open,2013-02-16,ATP250,Indoor,Clay,Semifinals,3,Nadal R.,Alund M.,Nadal R.,5,111,5550,482,1.06,10.0,6-3 6-7 6-1   
Brasil Open,2013-02-17,ATP250,Indoor,Clay,The Final,3,Nalbandian D.,Nadal R.,Nadal R.,93,5,550,5550,2.75,1.44,2-6 3-6    
Abierto Mexicano,2013-02-27,ATP500,Outdoor,Clay,1st Round,3,Nadal R.,Schwartzman D.,Nadal R.,5,157,5755,347,1.03,15.0,6-2 6-2    
Abierto Mexicano,2013-02-28,ATP500,Outdoor,Clay,2nd Round,3,Alund M.,Nadal R.,Nadal R.,91,5,563,5755,17.0,1.02,0-6 4-6    
Abierto Mexicano,2013-03-01,ATP500,Outdoor,Clay,Quarterfinals,3,Nadal R.,Mayer L.,Nadal R.,5,77,5755,657,1.02,19.0,6-1 7-5    
Abierto Mexicano,2013-03-02,ATP500,Outdoor,Clay,Semifinals,3,Almagro N.,Nadal R.,Nadal R.,12,5,2480,5755,4.5,1.18,5-7 4-6    
Abierto Mexicano,2013-03-03,ATP500,Outdoor,Clay,The Final,3,Nadal R.,Ferrer D.,Nadal R.,5,4,5755,6865,1.44,2.75,6-0 6-2    
Dubai Tennis Championships,2013-02-25,ATP500,Outdoor,Hard,1st Round,3,Jaziri M.,Federer R.,Federer R.,128,2,428,9855,23.0,1.01,7-5 0-6 2-6   
Dubai Tennis Championships,2013-02-26,ATP500,Outdoor,Hard,1st Round,3,Djokovic N.,Troicki V.,Djokovic N.,1,44,12960,925,1.02,19.0,6-1 6-4    
Dubai Tennis Championships,2013-02-27,ATP500,Outdoor,Hard,2nd Round,3,Granollers M.,Federer R.,Federer R.,34,2,1125,9855,13.0,1.04,3-6 4-6    
Dubai Tennis Championships,2013-02-27,ATP500,Outdoor,Hard,2nd Round,3,Djokovic N.,Bautista R.,Djokovic N.,1,55,12960,788,1.01,26.0,6-1 7-6    
Dubai Tennis Championships,2013-02-28,ATP500,Outdoor,Hard,Quarterfinals,3,Seppi A.,Djokovic N.,Djokovic N.,20,1,1730,12960,17.0,1.02,0-6 3-6    
Dubai Tennis Championships,2013-02-28,ATP500,Outdoor,Hard,Quarterfinals,3,Federer R.,Davydenko N.,Federer R.,2,46,9855,915,1.1,7.0,6-2 6-2    
Dubai Tennis Championships,2013-03-01,ATP500,Outdoor,Hard,Semifinals,3,Del Potro J.M.,Djokovic N.,Djokovic N.,7,1,4410,12960,7.0,1.1,3-6 6-7    
Dubai Tennis Championships,2013-03-01,ATP500,Outdoor,Hard,Semifinals,3,Berdych T.,Federer R.,Berdych T.,6,2,4545,9855,3.0,1.4,3-6 7-6 6-4   
Dubai Tennis Championships,2013-03-02,ATP500,Outdoor,Hard,The Final,3,Berdych T.,Djokovic N.,Djokovic N.,6,1,4545,12960,6.5,1.11,5-7 3-6    
BNP Paribas Open,2013-03-09,Masters 1000,Outdoor,Hard,2nd Round,3,Federer R.,Istomin D.,Federer R.,2,43,9535,930,1.04,13.0,6-2 6-3    
BNP Paribas Open,2013-03-10,Masters 1000,Outdoor,Hard,2nd Round,3,Harrison R.,Nadal R.,Nadal R.,73,5,659,6105,7.0,1.1,6-7 2-6    
BNP Paribas Open,2013-03-11,Masters 1000,Outdoor,Hard,2nd Round,3,Djokovic N.,Fognini F.,Djokovic N.,1,36,13280,1065,1.002,29.0,6-0 5-7 6-2   
BNP Paribas Open,2013-03-11,Masters 1000,Outdoor,Hard,3rd Round,3,Dodig I.,Federer R.,Federer R.,60,2,768,9535,13.0,1.04,3-6 1-6    
BNP Paribas Open,2013-03-12,Masters 1000,Outdoor,Hard,3rd Round,3,Djokovic N.,Dimitrov G.,Djokovic N.,1,31,13280,1137,1.02,17.0,7-6 6-1    
BNP Paribas Open,2013-03-13,Masters 1000,Outdoor,Hard,4th Round,3,Wawrinka S.,Federer R.,Federer R.,18,2,1915,9535,4.5,1.18,3-6 7-6 5-7   
BNP Paribas Open,2013-03-14,Masters 1000,Outdoor,Hard,4th Round,3,Nadal R.,Gulbis E.,Nadal R.,5,67,6105,705,1.22,4.0,4-6 6-4 7-5   
BNP Paribas Open,2013-03-14,Masters 1000,Outdoor,Hard,4th Round,3,Querrey S.,Djokovic N.,Djokovic N.,23,1,1695,13280,13.0,1.04,0-6 6-7    
BNP Paribas Open,2013-03-15,Masters 1000,Outdoor,Hard,Quarterfinals,3,Nadal R.,Federer R.,Nadal R.,5,2,6105,9535,2.1,1.72,6-4 6-2    
BNP Paribas Open,2013-03-15,Masters 1000,Outdoor,Hard,Quarterfinals,3,Tsonga J.W.,Djokovic N.,Djokovic N.,8,1,3660,13280,8.0,1.08,3-6 1-6    
BNP Paribas Open,2013-03-16,Masters 1000,Outdoor,Hard,Semifinals,3,Nadal R.,Berdych T.,Nadal R.,5,6,6105,4740,1.44,2.75,6-4 7-5    
BNP Paribas Open,2013-03-16,Masters 1000,Outdoor,Hard,Semifinals,3,Djokovic N.,Del Potro J.M.,Del Potro J.M.,1,7,13280,4410,1.11,6.5,6-4 4-6 4-6   
BNP Paribas Open,2013-03-17,Masters 1000,Outdoor,Hard,The Final,3,Nadal R.,Del Potro J.M.,Nadal R.,5,7,6105,4410,1.53,2.5,4-6 6-3 6-4   
Sony Ericsson Open,2013-03-23,Masters 1000,Outdoor,Hard,2nd Round,3,Rosol L.,Djokovic N.,Djokovic N.,64,1,749,13280,26.0,1.01,1-6 0-6    
Sony Ericsson Open,2013-03-24,Masters 1000,Outdoor,Hard,3rd Round,3,Djokovic N.,Devvarman S.,Djokovic N.,1,254,13280,182,1.002,34.0,6-2 6-4    
Sony Ericsson Open,2013-03-27,Masters 1000,Outdoor,Hard,4th Round,3,Djokovic N.,Haas T.,Haas T.,1,18,13280,1925,1.05,11.0,2-6 4-6    
Monte Carlo Masters,2013-04-17,Masters 1000,Outdoor,Clay,2nd Round,3,Nadal R.,Matosevic M.,Nadal R.,5,54,6385,827,1.01,26.0,6-1 6-2    
Monte Carlo Masters,2013-04-17,Masters 1000,Outdoor,Clay,2nd Round,3,Youzhny M.,Djokovic N.,Djokovic N.,27,1,1220,12500,10.0,1.06,6-4 1-6 4-6   
Monte Carlo Masters,2013-04-18,Masters 1000,Outdoor,Clay,3rd Round,3,Nadal R.,Kohlschreiber P.,Nadal R.,5,21,6385,1670,1.01,26.0,6-2 6-4    
Monte Carlo Masters,2013-04-18,Masters 1000,Outdoor,Clay,3rd Round,3,Monaco J.,Djokovic N.,Djokovic N.,20,1,1740,12500,7.0,1.1,6-4 2-6 2-6   
Monte Carlo Masters,2013-04-19,Masters 1000,Outdoor,Clay,Quarterfinals,3,Nadal R.,Dimitrov G.,Nadal R.,5,34,6385,1112,1.02,17.0,6-2 2-6 6-4   
Monte Carlo Masters,2013-04-19,Masters 1000,Outdoor,Clay,Quarterfinals,3,Nieminen J.,Djokovic N.,Djokovic N.,49,1,860,12500,6.5,1.11,4-6 3-6    
Monte Carlo Masters,2013-04-20,Masters 1000,Outdoor,Clay,Semifinals,3,Nadal R.,Tsonga J.W.,Nadal R.,5,8,6385,3695,1.1,7.0,6-3 7-6    
Monte Carlo Masters,2013-04-20,Masters 1000,Outdoor,Clay,Semifinals,3,Fognini F.,Djokovic N.,Djokovic N.,32,1,1135,12500,6.0,1.12,2-6 1-6    
Monte Carlo Masters,2013-04-21,Masters 1000,Outdoor,Clay,The Final,3,Djokovic N.,Nadal R.,Djokovic N.,1,5,12500,6385,2.87,1.4,6-2 7-6    
Open Banco Sabadell,2013-04-24,ATP500,Outdoor,Clay,2nd Round,3,Berlocq C.,Nadal R.,Nadal R.,63,5,740,5985,21.0,1.01,4-6 2-6    
Open Banco Sabadell,2013-04-26,ATP500,Outdoor,Clay,3rd Round,3,Nadal R.,Paire B.,Nadal R.,5,33,5985,1145,1.01,26.0,7-6 6-2    
Open Banco Sabadell,2013-04-26,ATP500,Outdoor,Clay,Quarterfinals,3,Ramos A.,Nadal R.,Nadal R.,64,5,730,5985,26.0,1.01,3-6 0-6    
Open Banco Sabadell,2013-04-27,ATP500,Outdoor,Clay,Semifinals,3,Nadal R.,Raonic M.,Nadal R.,5,13,5985,2225,1.06,10.0,6-4 6-0    
Open Banco Sabadell,2013-04-28,ATP500,Outdoor,Clay,The Final,3,Almagro N.,Nadal R.,Nadal R.,12,5,2450,5985,8.0,1.08,4-6 3-6    
Mutua Madrid Open,2013-05-07,Masters 1000,Outdoor,Clay,2nd Round,3,Federer R.,Stepanek R.,Federer R.,2,48,8670,880,1.06,10.0,6-3 6-3    
Mutua Madrid Open,2013-05-07,Masters 1000,Outdoor,Clay,2nd Round,3,Djokovic N.,Dimitrov G.,Dimitrov G.,1,28,12900,1272,1.05,11.0,6-7 7-6 3-6   
Mutua Madrid Open,2013-05-08,Masters 1000,Outdoor,Clay,2nd Round,3,Nadal R.,Paire B.,Nadal R.,5,37,5985,1040,1.01,23.0,6-3 6-4    
Mutua Madrid Open,2013-05-09,Masters 1000,Outdoor,Clay,3rd Round,3,Youzhny M.,Nadal R.,Nadal R.,31,5,1220,5985,23.0,1.01,2-6 3-6    
Mutua Madrid Open,2013-05-09,Masters 1000,Outdoor,Clay,3rd Round,3,Nishikori K.,Federer R.,Nishikori K.,16,2,2090,8670,4.5,1.18,6-4 1-6 6-2   
Mutua Madrid Open,2013-05-10,Masters 1000,Outdoor,Clay,Quarterfinals,3,Ferrer D.,Nadal R.,Nadal R.,4,5,6920,5985,7.0,1.1,6-4 6-7 0-6   
Mutua Madrid Open,2013-05-11,Masters 1000,Outdoor,Clay,Semifinals,3,Nadal R.,Andujar P.,Nadal R.,5,113,5985,475,1.01,21.0,6-0 6-4    
Mutua Madrid Open,2013-05-12,Masters 1000,Outdoor,Clay,The Final,3,Wawrinka S.,Nadal R.,Nadal R.,15,5,2165,5985,6.0,1.12,2-6 4-6    
Internazionali BNL d'Italia,2013-05-14,Masters 1000,Outdoor,Clay,2nd Round,3,Djokovic N.,Montanes A.,Djokovic N.,1,89,12730,573,1.01,21.0,6-2 6-3    
Internazionali BNL d'Italia,2013-05-14,Masters 1000,Outdoor,Clay,2nd Round,3,Starace P.,Federer R.,Federer R.,293,3,150,7760,15.0,1.03,1-6 2-6    
Internazionali BNL d'Italia,2013-05-15,Masters 1000,Outdoor,Clay,2nd Round,3,Nadal R.,Fognini F.,Nadal R.,5,25,6895,1345,1.03,15.0,6-1 6-3    
Internazionali BNL d'Italia,2013-05-16,Masters 1000,Outdoor,Clay,3rd Round,3,Dolgopolov O.,Djokovic N.,Djokovic N.,23,1,1420,12730,10.0,1.06,1-6 4-6    
Internazionali BNL d'Italia,2013-05-16,Masters 1000,Outdoor,Clay,3rd Round,3,Nadal R.,Gulbis E.,Nadal R.,5,46,6895,885,1.05,11.0,1-6 7-5 6-4   
Internazionali BNL d'Italia,2013-05-16,Masters 1000,Outdoor,Clay,3rd Round,3,Simon G.,Federer R.,Federer R.,17,3,1940,7760,5.5,1.14,1-6 2-6    
Internazionali BNL d'Italia,2013-05-17,Masters 1000,Outdoor,Clay,Quarterfinals,3,Berdych T.,Djokovic N.,Berdych T.,6,1,4520,12730,6.0,1.12,2-6 7-5 6-4   
Internazionali BNL d'Italia,2013-05-17,Masters 1000,Outdoor,Clay,Quarterfinals,3,Ferrer D.,Nadal R.,Nadal R.,4,5,6920,6895,5.5,1.14,4-6 6-4 2-6   
Internazionali BNL d'Italia,2013-05-17,Masters 1000,Outdoor,Clay,Quarterfinals,3,Federer R.,Janowicz J.,Federer R.,3,24,7760,1354,1.12,6.0,6-4 7-6    
Internazionali BNL d'Italia,2013-05-18,Masters 1000,Outdoor,Clay,Semifinals,3,Berdych T.,Nadal R.,Nadal R.,6,5,4520,6895,5.5,1.14,2-6 4-6    
Internazionali BNL d'Italia,2013-05-18,Masters 1000,Outdoor,Clay,Semifinals,3,Federer R.,Paire B.,Federer R.,3,36,7760,1065,1.11,6.5,7-6 6-4    
Internazionali BNL d'Italia,2013-05-19,Masters 1000,Outdoor,Clay,The Final,3,Federer R.,Nadal R.,Nadal R.,3,5,7760,6895,4.5,1.2,1-6 3-6    
French Open,2013-05-26,Grand Slam,Outdoor,Clay,1st Round,5,Federer R.,Carreno-Busta P.,Federer R.,3,164,8000,316,1.03,15.0,6-2 6-2 6-3   
French Open,2013-05-27,Grand Slam,Outdoor,Clay,1st Round,5,Brands D.,Nadal R.,Nadal R.,59,4,795,6895,29.0,1.002,6-4 6-7 4-6 3-6  
French Open,2013-05-28,Grand Slam,Outdoor,Clay,1st Round,5,Djokovic N.,Goffin D.,Djokovic N.,1,58,12310,797,1.002,29.0,7-6 6-4 7-5   
French Open,2013-05-29,Grand Slam,Outdoor,Clay,2nd Round,5,Devvarman S.,Federer R.,Federer R.,188,3,269,8000,29.0,1.02,2-6 1-6 1-6   
French Open,2013-05-30,Grand Slam,Outdoor,Clay,2nd Round,5,Djokovic N.,Pella G.,Djokovic N.,1,83,12310,635,1.0,41.0,6-2 6-0 6-2   
French Open,2013-05-31,Grand Slam,Outdoor,Clay,2nd Round,5,Klizan M.,Nadal R.,Nadal R.,35,4,1090,6895,41.0,1.0,6-4 3-6 3-6 3-6  
French Open,2013-05-31,Grand Slam,Outdoor,Clay,3rd Round,5,Federer R.,Benneteau J.,Federer R.,3,32,8000,1200,1.03,15.0,6-3 6-4 7-5   
French Open,2013-06-01,Grand Slam,Outdoor,Clay,3rd Round,5,Fognini F.,Nadal R.,Nadal R.,29,4,1345,6895,29.0,1.002,6-7 4-6 4-6   
French Open,2013-06-01,Grand Slam,Outdoor,Clay,3rd Round,5,Djokovic N.,Dimitrov G.,Djokovic N.,1,28,12310,1355,1.07,9.0,6-2 6-2 6-3   
French Open,2013-06-02,Grand Slam,Outdoor,Clay,4th Round,5,Simon G.,Federer R.,Federer R.,18,3,1895,8000,13.0,1.04,1-6 6-4 6-2 2-6 3-6 
French Open,2013-06-03,Grand Slam,Outdoor,Clay,4th Round,5,Djokovic N.,Kohlschreiber P.,Djokovic N.,1,19,12310,1750,1.03,15.0,4-6 6-3 6-4 6-4  
French Open,2013-06-03,Grand Slam,Outdoor,Clay,4th Round,5,Nishikori K.,Nadal R.,Nadal R.,15,4,2315,6895,13.0,1.04,4-6 1-6 3-6   
French Open,2013-06-04,Grand Slam,Outdoor,Clay,Quarterfinals,5,Tsonga J.W.,Federer R.,Tsonga J.W.,8,3,3795,8000,2.5,1.53,7-5 6-3 6-3   
French Open,2013-06-05,Grand Slam,Outdoor,Clay,Quarterfinals,5,Haas T.,Djokovic N.,Djokovic N.,14,1,2340,12310,8.0,1.08,3-6 6-7 5-7   
French Open,2013-06-05,Grand Slam,Outdoor,Clay,Quarterfinals,5,Nadal R.,Wawrinka S.,Nadal R.,4,10,6895,2630,1.06,10.0,6-2 6-3 6-1   
French Open,2013-06-07,Grand Slam,Outdoor,Clay,Semifinals,5,Djokovic N.,Nadal R.,Nadal R.,1,4,12310,6895,2.3,1.61,4-6 6-3 1-6 7-6 7-9 
French Open,2013-06-09,Grand Slam,Outdoor,Clay,The Final,5,Nadal R.,Ferrer D.,Nadal R.,4,5,6895,6740,1.1,7.0,6-3 6-2 6-3   
Gerry Weber Open,2013-06-12,ATP250,Outdoor,Grass,2nd Round,3,Stebe C.M.,Federer R.,Federer R.,166,3,312,7640,17.0,1.02,3-6 3-6    
Gerry Weber Open,2013-06-14,ATP250,Outdoor,Grass,Quarterfinals,3,Federer R.,Zverev M.,Federer R.,3,156,7640,337,1.002,29.0,6-0 6-0    
Gerry Weber Open,2013-06-15,ATP250,Outdoor,Grass,Semifinals,3,Haas T.,Federer R.,Federer R.,11,3,2585,7640,3.5,1.3,6-3 3-6 4-6   
Gerry Weber Open,2013-06-16,ATP250,Outdoor,Grass,The Final,3,Federer R.,Youzhny M.,Federer R.,3,29,7640,1355,1.11,6.5,6-7 6-3 6-4   
Wimbledon,2013-06-24,Grand Slam,Outdoor,Grass,1st Round,5,Hanescu V.,Federer R.,Federer R.,48,3,895,7740,29.0,1.002,3-6 2-6 0-6   
Wimbledon,2013-06-24,Grand Slam,Outdoor,Grass,1st Round,5,Darcis S.,Nadal R.,Darcis S.,135,5,418,6895,29.0,1.002,7-6 7-6 6-4   
Wimbledon,2013-06-25,Grand Slam,Outdoor,Grass,1st Round,5,Mayer F.,Djokovic N.,Djokovic N.,34,1,1175,11830,26.0,1.01,3-6 5-7 4-6   
Wimbledon,2013-06-26,Grand Slam,Outdoor,Grass,2nd Round,5,Stakhovsky S.,Federer R.,Stakhovsky S.,116,3,488,7740,29.0,1.002,6-7 7-6 7-5 7-6  
Wimbledon,2013-06-27,Grand Slam,Outdoor,Grass,2nd Round,5,Reynolds B.,Djokovic N.,Djokovic N.,156,1,346,11830,29.0,1.002,6-7 3-6 1-6   
Wimbledon,2013-06-29,Grand Slam,Outdoor,Grass,3rd Round,3,Djokovic N.,Chardy J.,Djokovic N.,1,25,11830,1441,1.02,19.0,6-3 6-2 6-2   
Wimbledon,2013-07-01,Grand Slam,Outdoor,Grass,4th Round,5,Haas T.,Djokovic N.,Djokovic N.,13,1,2425,11830,7.0,1.1,1-6 4-6 6-7   
Wimbledon,2013-07-03,Grand Slam,Outdoor,Grass,Quarterfinals,5,Djokovic N.,Berdych T.,Djokovic N.,1,6,11830,4515,1.1,7.0,7-6 6-4 6-3   
Wimbledon,2013-07-05,Grand Slam,Outdoor,Grass,Semifinals,5,Del Potro J.M.,Djokovic N.,Djokovic N.,8,1,3960,11830,5.0,1.16,5-7 6-4 6-7 7-6 3-6 
Wimbledon,2013-07-07,Grand Slam,Outdoor,Grass,The Final,5,Murray A.,Djokovic N.,Murray A.,2,1,8560,11830,2.5,1.57,6-4 7-5 6-4   
German Open Tennis Championships,2013-07-17,ATP500,Outdoor,Clay,2nd Round,3,Brands D.,Federer R.,Federer R.,58,5,828,5785,7.0,1.1,6-3 3-6 2-6   
German Open Tennis Championships,2013-07-18,ATP500,Outdoor,Clay,3rd Round,3,Federer R.,Hajek J.,Federer R.,5,140,5785,395,1.04,13.0,6-4 6-3    
German Open Tennis Championships,2013-07-19,ATP500,Outdoor,Clay,Quarterfinals,3,Mayer F.,Federer R.,Federer R.,45,5,905,5785,5.0,1.16,6-7 6-3 5-7   
German Open Tennis Championships,2013-07-20,ATP500,Outdoor,Clay,Semifinals,3,Delbonis F.,Federer R.,Delbonis F.,114,5,507,5785,6.5,1.11,7-6 7-6    
Crédit Agricole Suisse Open Gstaad,2013-07-25,ATP250,Outdoor,Clay,2nd Round,3,Federer R.,Brands D.,Brands D.,5,55,5875,838,1.1,7.0,3-6 4-6    
Rogers Masters,2013-08-07,Masters 1000,Outdoor,Hard,2nd Round,3,Djokovic N.,Mayer F.,Djokovic N.,1,50,12040,905,1.03,15.0,6-2 6-1    
Rogers Masters,2013-08-07,Masters 1000,Outdoor,Hard,2nd Round,3,Levine J.,Nadal R.,Nadal R.,132,4,442,6860,13.0,1.04,2-6 0-6    
Rogers Masters,2013-08-08,Masters 1000,Outdoor,Hard,3rd Round,3,Nadal R.,Janowicz J.,Nadal R.,4,18,6860,2029,1.12,6.0,7-6 6-4    
Rogers Masters,2013-08-09,Masters 1000,Outdoor,Hard,3rd Round,3,Istomin D.,Djokovic N.,Djokovic N.,66,1,720,12040,17.0,1.02,6-2 4-6 4-6   
Rogers Masters,2013-08-09,Masters 1000,Outdoor,Hard,Quarterfinals,3,Djokovic N.,Gasquet R.,Djokovic N.,1,9,12040,3045,1.11,6.5,6-1 6-2    
Rogers Masters,2013-08-10,Masters 1000,Outdoor,Hard,Quarterfinals,3,Matosevic M.,Nadal R.,Nadal R.,74,4,664,6860,9.0,1.07,2-6 4-6    
Rogers Masters,2013-08-11,Masters 1000,Outdoor,Hard,Semifinals,3,Nadal R.,Djokovic N.,Nadal R.,4,1,6860,12040,3.0,1.4,6-4 3-6 7-6   
Rogers Masters,2013-08-11,Masters 1000,Outdoor,Hard,The Final,3,Raonic M.,Nadal R.,Nadal R.,13,4,2225,6860,5.0,1.15,2-6 2-6    
Western & Southern Financial Group Masters,2013-08-14,Masters 1000,Outdoor,Hard,2nd Round,3,Federer R.,Kohlschreiber P.,Federer R.,5,26,5515,1410,1.22,4.0,6-3 7-6    
Western & Southern Financial Group Masters,2013-08-14,Masters 1000,Outdoor,Hard,2nd Round,3,Monaco J.,Djokovic N.,Djokovic N.,32,1,1240,11400,15.0,1.03,5-7 2-6    
Western & Southern Financial Group Masters,2013-08-15,Masters 1000,Outdoor,Hard,2nd Round,3,Nadal R.,Becker B.,Nadal R.,3,100,7860,548,1.03,15.0,6-2 6-2    
Western & Southern Financial Group Masters,2013-08-15,Masters 1000,Outdoor,Hard,3rd Round,3,Goffin D.,Djokovic N.,Djokovic N.,80,1,631,11400,19.0,1.02,2-6 0-6    
Western & Southern Financial Group Masters,2013-08-15,Masters 1000,Outdoor,Hard,3rd Round,3,Federer R.,Haas T.,Federer R.,5,13,5515,2140,1.4,2.75,1-6 7-5 6-3   
Western & Southern Financial Group Masters,2013-08-16,Masters 1000,Outdoor,Hard,3rd Round,3,Dimitrov G.,Nadal R.,Nadal R.,29,3,1305,7860,5.0,1.15,2-6 7-5 2-6   
Western & Southern Financial Group Masters,2013-08-16,Masters 1000,Outdoor,Hard,Quarterfinals,3,Isner J.,Djokovic N.,Isner J.,22,1,1585,11400,7.0,1.1,7-6 3-6 7-5   
Western & Southern Financial Group Masters,2013-08-17,Masters 1000,Outdoor,Hard,Quarterfinals,3,Federer R.,Nadal R.,Nadal R.,5,3,5515,7860,3.75,1.28,7-5 4-6 3-6   
Western & Southern Financial Group Masters,2013-08-17,Masters 1000,Outdoor,Hard,Semifinals,3,Nadal R.,Berdych T.,Nadal R.,3,6,7860,4865,1.28,3.75,7-5 7-6    
Western & Southern Financial Group Masters,2013-08-18,Masters 1000,Outdoor,Hard,The Final,3,Isner J.,Nadal R.,Nadal R.,22,3,1585,7860,4.5,1.2,6-7 6-7    
US Open,2013-08-26,Grand Slam,Outdoor,Hard,1st Round,5,Nadal R.,Harrison R.,Nadal R.,2,97,8860,561,1.01,21.0,6-4 6-2 6-2   
US Open,2013-08-27,Grand Slam,Outdoor,Hard,1st Round,5,Zemlja G.,Federer R.,Federer R.,62,7,771,4695,19.0,1.02,3-6 2-6 5-7   
US Open,2013-08-28,Grand Slam,Outdoor,Hard,1st Round,5,Djokovic N.,Berankis R.,Djokovic N.,1,112,10980,499,1.002,34.0,6-1 6-2 6-2   
US Open,2013-08-29,Grand Slam,Outdoor,Hard,2nd Round,5,Berlocq C.,Federer R.,Federer R.,48,7,905,4695,19.0,1.02,3-6 2-6 1-6   
US Open,2013-08-30,Grand Slam,Outdoor,Hard,2nd Round,5,Nadal R.,Dutra Silva R.,Nadal R.,2,134,8860,422,1.0,41.0,6-2 6-1 6-0   
US Open,2013-08-30,Grand Slam,Outdoor,Hard,2nd Round,5,Becker B.,Djokovic N.,Djokovic N.,87,1,603,10980,34.0,1.002,6-7 2-6 2-6   
US Open,2013-08-31,Grand Slam,Outdoor,Hard,3rd Round,5,Nadal R.,Dodig I.,Nadal R.,2,38,8860,1125,1.02,19.0,6-4 6-3 6-3   
US Open,2013-09-01,Grand Slam,Outdoor,Hard,3rd Round,5,Mannarino A.,Federer R.,Federer R.,63,7,756,4695,19.0,1.02,3-6 0-6 2-6   
US Open,2013-09-02,Grand Slam,Outdoor,Hard,3rd Round,5,Djokovic N.,Sousa J.,Djokovic N.,1,95,10980,583,1.0,51.0,6-0 6-2 6-2   
US Open,2013-09-02,Grand Slam,Outdoor,Hard,4th Round,5,Federer R.,Robredo T.,Robredo T.,7,22,4695,1620,1.04,13.0,6-7 3-6 4-6   
US Open,2013-09-03,Grand Slam,Outdoor,Hard,4th Round,5,Nadal R.,Kohlschreiber P.,Nadal R.,2,25,8860,1445,1.03,15.0,6-7 6-4 6-3 6-1  
US Open,2013-09-03,Grand Slam,Outdoor,Hard,4th Round,5,Granollers M.,Djokovic N.,Djokovic N.,43,1,975,10980,26.0,1.01,3-6 0-6 0-6   
US Open,2013-09-05,Grand Slam,Outdoor,Hard,Quarterfinals,5,Nadal R.,Robredo T.,Nadal R.,2,22,8860,1620,1.03,15.0,6-0 6-2 6-2   
US Open,2013-09-06,Grand Slam,Outdoor,Hard,Quarterfinals,5,Youzhny M.,Djokovic N.,Djokovic N.,24,1,1475,10980,17.0,1.02,3-6 2-6 6-3 0-6  
US Open,2013-09-07,Grand Slam,Outdoor,Hard,Semifinals,5,Djokovic N.,Wawrinka S.,Djokovic N.,1,10,10980,2610,1.14,5.5,2-6 7-6 3-6 6-3 6-4 
US Open,2013-09-07,Grand Slam,Outdoor,Hard,Semifinals,5,Gasquet R.,Nadal R.,Nadal R.,9,2,2625,8860,10.0,1.06,4-6 6-7 2-6   
US Open,2013-09-09,Grand Slam,Outdoor,Hard,The Final,5,Nadal R.,Djokovic N.,Nadal R.,2,1,8860,10980,1.66,2.2,6-2 3-6 6-4 6-1  
China Open,2012-10-02,ATP500,Outdoor,Hard,1st Round,3,Rosol L.,Djokovic N.,Djokovic N.,46,1,951,11120,21.0,1.01,0-6 3-6    
China Open,2012-10-02,ATP500,Outdoor,Hard,1st Round,3,Nadal R.,Giraldo S.,Nadal R.,2,87,10860,615,1.01,21.0,6-2 6-4    
China Open,2012-10-03,ATP500,Outdoor,Hard,2nd Round,3,Kohlschreiber P.,Nadal R.,Nadal R.,25,2,1445,10860,10.0,1.06,4-6 6-7    
China Open,2012-10-04,ATP500,Outdoor,Hard,2nd Round,3,Djokovic N.,Verdasco F.,Djokovic N.,1,31,11120,1210,1.04,13.0,7-5 2-6 6-2   
China Open,2012-10-05,ATP500,Outdoor,Hard,Quarterfinals,3,Fognini F.,Nadal R.,Nadal R.,19,2,1840,10860,15.0,1.03,6-2 4-6 1-6   
China Open,2012-10-05,ATP500,Outdoor,Hard,Quarterfinals,3,Djokovic N.,Querrey S.,Djokovic N.,1,30,11120,1265,1.05,11.0,6-1 6-2    
China Open,2012-10-06,ATP500,Outdoor,Hard,Semifinals,3,Gasquet R.,Djokovic N.,Djokovic N.,10,1,3005,11120,7.0,1.1,4-6 2-6    
China Open,2012-10-07,ATP500,Outdoor,Hard,The Final,3,Djokovic N.,Nadal R.,Djokovic N.,1,2,11120,10860,1.72,2.1,6-3 6-4    
Shanghai Masters,2013-10-09,Masters 1000,Outdoor,Hard,2nd Round,3,Granollers M.,Djokovic N.,Djokovic N.,36,2,1110,11120,21.0,1.01,2-6 0-6    
Shanghai Masters,2013-10-09,Masters 1000,Outdoor,Hard,2nd Round,3,Federer R.,Seppi A.,Federer R.,7,22,4515,1555,1.16,5.0,6-4 6-3    
Shanghai Masters,2013-10-09,Masters 1000,Outdoor,Hard,2nd Round,3,Dolgopolov O.,Nadal R.,Nadal R.,34,1,1125,11160,8.0,1.08,3-6 2-6    
Shanghai Masters,2013-10-10,Masters 1000,Outdoor,Hard,3rd Round,3,Monfils G.,Federer R.,Monfils G.,42,7,1050,4515,3.5,1.28,6-4 6-7 6-3   
Shanghai Masters,2013-10-10,Masters 1000,Outdoor,Hard,3rd Round,3,Fognini F.,Djokovic N.,Djokovic N.,17,2,1885,11120,10.0,1.06,3-6 3-6    
Shanghai Masters,2013-10-10,Masters 1000,Outdoor,Hard,3rd Round,3,Nadal R.,Berlocq C.,Nadal R.,1,44,11160,965,1.03,15.0,6-1 7-6    
Shanghai Masters,2013-10-11,Masters 1000,Outdoor,Hard,Quarterfinals,3,Monfils G.,Djokovic N.,Djokovic N.,42,2,1050,11120,7.0,1.1,7-6 2-6 4-6   
